latitude,longitude,elevation_m,slope_percent,water_distance_km,nearest_water_name,nearest_water_type,urban_distance_km,soil_type,soil_ph,soil_organic_matter,soil_productivity,annual_precipitation_mm,sunshine_hours,average_temperature,climate_type,landcover_type,region_name,data_source,suitability_score,suitability_reasons,detailed_reasons,suitability_category
39.0570577,36.1713151,301,2.7,1.2,Unnamed,stream,228.5,Clay-Loamy,7.1,1.8,medium-high,850,1950,14.0,Black Sea,orchard,,OpenStreetMap,87,"very close to water, low slope, low elevation, good soil, suitable precipitation, ideal sunshine, existing agricultural land",💧 Water: 1.2km (Unnamed) - EXCELLENT | 📐 Slope: 2.7% - EXCELLENT | ⛰️ Elevation: 301m - EXCELLENT | 🏙️ Urban: 228.5km - FAR | 🌱 Soil: Clay-Loamy (pH:7.1) - GOOD | 🌧️ Precipitation: 850mm - GOOD | ☀️ Sunshine: 1950 hours - EXCELLENT | 🏞️ Landcover: orchard - BONUS,HIGHLY PRODUCTIVE
39.0539043,36.1407267,369,5.7,1.5,Unnamed,stream,282.5,Clay-Loamy,7.1,1.8,medium-high,850,1950,14.0,Black Sea,orchard,,OpenStreetMap,82,"very close to water, medium slope, low elevation, good soil, suitable precipitation, ideal sunshine, existing agricultural land",💧 Water: 1.5km (Unnamed) - EXCELLENT | 📐 Slope: 5.7% - GOOD | ⛰️ Elevation: 369m - EXCELLENT | 🏙️ Urban: 282.5km - FAR | 🌱 Soil: Clay-Loamy (pH:7.1) - GOOD | 🌧️ Precipitation: 850mm - GOOD | ☀️ Sunshine: 1950 hours - EXCELLENT | 🏞️ Landcover: orchard - BONUS,HIGHLY PRODUCTIVE
39.3283907,36.5507104,638,8.1,7.1,Kanak Deresi,stream,244.0,Loamy-Sandy,6.5,1.2,medium,850,1950,14.0,Black Sea,farmland,,OpenStreetMap,72,"close to water, medium slope, low elevation, medium soil, suitable precipitation, ideal sunshine, existing agricultural land",💧 Water: 7.1km (Kanak Deresi) - GOOD | 📐 Slope: 8.1% - GOOD | ⛰️ Elevation: 638m - EXCELLENT | 🏙️ Urban: 244.0km - FAR | 🌱 Soil: Loamy-Sandy (pH:6.5) - MEDIUM | 🌧️ Precipitation: 850mm - GOOD | ☀️ Sunshine: 1950 hours - EXCELLENT | 🏞️ Landcover: farmland - BONUS,PRODUCTIVE
37.6146302,40.4720004,1196,14.7,2.3,Göksu Deresi,stream,568.9,Stony-Sandy,5.8,0.7,low,380,2650,11.2,Continental,orchard,,OpenStreetMap,63,"very close to water, high slope, medium elevation, suitable precipitation, ideal sunshine, existing agricultural land",💧 Water: 2.3km (Göksu Deresi) - EXCELLENT | 📐 Slope: 14.7% - MEDIUM | ⛰️ Elevation: 1196m - GOOD | 🏙️ Urban: 568.9km - FAR | 🌱 Soil: Stony-Sandy (pH:5.8) - LOW | 🌧️ Precipitation: 380mm - GOOD | ☀️ Sunshine: 2650 hours - EXCELLENT | 🏞️ Landcover: orchard - BONUS,MODERATELY PRODUCTIVE
36.9684323,37.5127116,229,2.5,0.5,Sacır Suyu,river,212.2,Clay-Loamy,7.1,1.8,medium-high,650,2950,18.5,Mediterranean,orchard,,OpenStreetMap,83,"very close to water, low slope, low elevation, good soil, ideal precipitation, existing agricultural land",💧 Water: 0.5km (Sacır Suyu) - EXCELLENT | 📐 Slope: 2.5% - EXCELLENT | ⛰️ Elevation: 229m - EXCELLENT | 🏙️ Urban: 212.2km - FAR | 🌱 Soil: Clay-Loamy (pH:7.1) - GOOD | 🌧️ Precipitation: 650mm - EXCELLENT | ☀️ Sunshine: 2950 hours - INSUFFICIENT | 🏞️ Landcover: orchard - BONUS,HIGHLY PRODUCTIVE
37.6152714,40.4731273,988,9.0,2.3,Unnamed,stream,538.9,Loamy-Sandy,6.5,1.2,medium,380,2650,11.2,Continental,orchard,,OpenStreetMap,74,"very close to water, medium slope, medium elevation, medium soil, suitable precipitation, ideal sunshine, existing agricultural land",💧 Water: 2.3km (Unnamed) - EXCELLENT | 📐 Slope: 9.0% - GOOD | ⛰️ Elevation: 988m - GOOD | 🏙️ Urban: 538.9km - FAR | 🌱 Soil: Loamy-Sandy (pH:6.5) - MEDIUM | 🌧️ Precipitation: 380mm - GOOD | ☀️ Sunshine: 2650 hours - EXCELLENT | 🏞️ Landcover: orchard - BONUS,PRODUCTIVE
36.7813653,37.6204412,257,2.8,0.6,Aynifar Deresi,stream,288.4,Clay-Loamy,7.1,1.8,medium-high,650,2950,18.5,Mediterranean,orchard,,OpenStreetMap,83,"very close to water, low slope, low elevation, good soil, ideal precipitation, existing agricultural land",💧 Water: 0.6km (Aynifar Deresi) - EXCELLENT | 📐 Slope: 2.8% - EXCELLENT | ⛰️ Elevation: 257m - EXCELLENT | 🏙️ Urban: 288.4km - FAR | 🌱 Soil: Clay-Loamy (pH:7.1) - GOOD | 🌧️ Precipitation: 650mm - EXCELLENT | ☀️ Sunshine: 2950 hours - INSUFFICIENT | 🏞️ Landcover: orchard - BONUS,HIGHLY PRODUCTIVE
37.615791,40.4702626,943,7.4,2.0,Göksu Deresi,stream,519.1,Loamy-Sandy,6.5,1.2,medium,380,2650,11.2,Continental,orchard,,OpenStreetMap,74,"very close to water, medium slope, medium elevation, medium soil, suitable precipitation, ideal sunshine, existing agricultural land",💧 Water: 2.0km (Göksu Deresi) - EXCELLENT | 📐 Slope: 7.4% - GOOD | ⛰️ Elevation: 943m - GOOD | 🏙️ Urban: 519.1km - FAR | 🌱 Soil: Loamy-Sandy (pH:6.5) - MEDIUM | 🌧️ Precipitation: 380mm - GOOD | ☀️ Sunshine: 2650 hours - EXCELLENT | 🏞️ Landcover: orchard - BONUS,PRODUCTIVE
37.1840774,40.9577216,892,5.4,1.3,Unnamed,stream,668.7,Loamy-Sandy,6.5,1.2,medium,380,2650,11.2,Continental,orchard,,OpenStreetMap,74,"very close to water, medium slope, medium elevation, medium soil, suitable precipitation, ideal sunshine, existing agricultural land",💧 Water: 1.3km (Unnamed) - EXCELLENT | 📐 Slope: 5.4% - GOOD | ⛰️ Elevation: 892m - GOOD | 🏙️ Urban: 668.7km - FAR | 🌱 Soil: Loamy-Sandy (pH:6.5) - MEDIUM | 🌧️ Precipitation: 380mm - GOOD | ☀️ Sunshine: 2650 hours - EXCELLENT | 🏞️ Landcover: orchard - BONUS,PRODUCTIVE
37.1773607,40.9499258,862,9.8,0.6,Unnamed,stream,750.5,Loamy-Sandy,6.5,1.2,medium,380,2650,11.2,Continental,orchard,,OpenStreetMap,74,"very close to water, medium slope, medium elevation, medium soil, suitable precipitation, ideal sunshine, existing agricultural land",💧 Water: 0.6km (Unnamed) - EXCELLENT | 📐 Slope: 9.8% - GOOD | ⛰️ Elevation: 862m - GOOD | 🏙️ Urban: 750.5km - FAR | 🌱 Soil: Loamy-Sandy (pH:6.5) - MEDIUM | 🌧️ Precipitation: 380mm - GOOD | ☀️ Sunshine: 2650 hours - EXCELLENT | 🏞️ Landcover: orchard - BONUS,PRODUCTIVE
37.6111377,40.4588956,894,6.8,2.1,Göksu Deresi,stream,478.6,Loamy-Sandy,6.5,1.2,medium,380,2650,11.2,Continental,orchard,,OpenStreetMap,74,"very close to water, medium slope, medium elevation, medium soil, suitable precipitation, ideal sunshine, existing agricultural land",💧 Water: 2.1km (Göksu Deresi) - EXCELLENT | 📐 Slope: 6.8% - GOOD | ⛰️ Elevation: 894m - GOOD | 🏙️ Urban: 478.6km - FAR | 🌱 Soil: Loamy-Sandy (pH:6.5) - MEDIUM | 🌧️ Precipitation: 380mm - GOOD | ☀️ Sunshine: 2650 hours - EXCELLENT | 🏞️ Landcover: orchard - BONUS,PRODUCTIVE
37.1752085,40.9522361,907,6.8,0.2,Unnamed,stream,585.4,Loamy-Sandy,6.5,1.2,medium,380,2650,11.2,Continental,orchard,,OpenStreetMap,74,"very close to water, medium slope, medium elevation, medium soil, suitable precipitation, ideal sunshine, existing agricultural land",💧 Water: 0.2km (Unnamed) - EXCELLENT | 📐 Slope: 6.8% - GOOD | ⛰️ Elevation: 907m - GOOD | 🏙️ Urban: 585.4km - FAR | 🌱 Soil: Loamy-Sandy (pH:6.5) - MEDIUM | 🌧️ Precipitation: 380mm - GOOD | ☀️ Sunshine: 2650 hours - EXCELLENT | 🏞️ Landcover: orchard - BONUS,PRODUCTIVE
37.1766109,40.9485706,1097,13.7,0.7,Unnamed,stream,717.3,Stony-Sandy,5.8,0.7,low,380,2650,11.2,Continental,orchard,,OpenStreetMap,63,"very close to water, high slope, medium elevation, suitable precipitation, ideal sunshine, existing agricultural land",💧 Water: 0.7km (Unnamed) - EXCELLENT | 📐 Slope: 13.7% - MEDIUM | ⛰️ Elevation: 1097m - GOOD | 🏙️ Urban: 717.3km - FAR | 🌱 Soil: Stony-Sandy (pH:5.8) - LOW | 🌧️ Precipitation: 380mm - GOOD | ☀️ Sunshine: 2650 hours - EXCELLENT | 🏞️ Landcover: orchard - BONUS,MODERATELY PRODUCTIVE
37.3205272,41.5366846,876,9.4,0.3,Unnamed,lake,605.1,Loamy-Sandy,6.5,1.2,medium,380,2650,11.2,Continental,orchard,,OpenStreetMap,74,"very close to water, medium slope, medium elevation, medium soil, suitable precipitation, ideal sunshine, existing agricultural land",💧 Water: 0.3km (Unnamed) - EXCELLENT | 📐 Slope: 9.4% - GOOD | ⛰️ Elevation: 876m - GOOD | 🏙️ Urban: 605.1km - FAR | 🌱 Soil: Loamy-Sandy (pH:6.5) - MEDIUM | 🌧️ Precipitation: 380mm - GOOD | ☀️ Sunshine: 2650 hours - EXCELLENT | 🏞️ Landcover: orchard - BONUS,PRODUCTIVE
37.321151,41.5390238,1029,10.2,0.1,Unnamed,lake,699.6,Stony-Sandy,5.8,0.7,low,380,2650,11.2,Continental,orchard,,OpenStreetMap,63,"very close to water, high slope, medium elevation, suitable precipitation, ideal sunshine, existing agricultural land",💧 Water: 0.1km (Unnamed) - EXCELLENT | 📐 Slope: 10.2% - MEDIUM | ⛰️ Elevation: 1029m - GOOD | 🏙️ Urban: 699.6km - FAR | 🌱 Soil: Stony-Sandy (pH:5.8) - LOW | 🌧️ Precipitation: 380mm - GOOD | ☀️ Sunshine: 2650 hours - EXCELLENT | 🏞️ Landcover: orchard - BONUS,MODERATELY PRODUCTIVE
37.3221066,41.5397816,899,6.9,0.1,Unnamed,lake,714.2,Loamy-Sandy,6.5,1.2,medium,380,2650,11.2,Continental,farmland,,OpenStreetMap,74,"very close to water, medium slope, medium elevation, medium soil, suitable precipitation, ideal sunshine, existing agricultural land",💧 Water: 0.1km (Unnamed) - EXCELLENT | 📐 Slope: 6.9% - GOOD | ⛰️ Elevation: 899m - GOOD | 🏙️ Urban: 714.2km - FAR | 🌱 Soil: Loamy-Sandy (pH:6.5) - MEDIUM | 🌧️ Precipitation: 380mm - GOOD | ☀️ Sunshine: 2650 hours - EXCELLENT | 🏞️ Landcover: farmland - BONUS,PRODUCTIVE
37.6396067,40.9009811,1103,9.1,1.1,Savur Çayı,stream,740.0,Stony-Sandy,5.8,0.7,low,380,2650,11.2,Continental,farmland,,OpenStreetMap,70,"very close to water, medium slope, medium elevation, suitable precipitation, ideal sunshine, existing agricultural land",💧 Water: 1.1km (Savur Çayı) - EXCELLENT | 📐 Slope: 9.1% - GOOD | ⛰️ Elevation: 1103m - GOOD | 🏙️ Urban: 740.0km - FAR | 🌱 Soil: Stony-Sandy (pH:5.8) - LOW | 🌧️ Precipitation: 380mm - GOOD | ☀️ Sunshine: 2650 hours - EXCELLENT | 🏞️ Landcover: farmland - BONUS,PRODUCTIVE
37.3222862,41.5374731,1173,11.9,0.2,Unnamed,lake,805.5,Stony-Sandy,5.8,0.7,low,380,2650,11.2,Continental,farmland,,OpenStreetMap,63,"very close to water, high slope, medium elevation, suitable precipitation, ideal sunshine, existing agricultural land",💧 Water: 0.2km (Unnamed) - EXCELLENT | 📐 Slope: 11.9% - MEDIUM | ⛰️ Elevation: 1173m - GOOD | 🏙️ Urban: 805.5km - FAR | 🌱 Soil: Stony-Sandy (pH:5.8) - LOW | 🌧️ Precipitation: 380mm - GOOD | ☀️ Sunshine: 2650 hours - EXCELLENT | 🏞️ Landcover: farmland - BONUS,MODERATELY PRODUCTIVE
37.3186572,41.5411983,1063,10.4,0.5,Unnamed,lake,755.9,Stony-Sandy,5.8,0.7,low,380,2650,11.2,Continental,farmland,,OpenStreetMap,63,"very close to water, high slope, medium elevation, suitable precipitation, ideal sunshine, existing agricultural land",💧 Water: 0.5km (Unnamed) - EXCELLENT | 📐 Slope: 10.4% - MEDIUM | ⛰️ Elevation: 1063m - GOOD | 🏙️ Urban: 755.9km - FAR | 🌱 Soil: Stony-Sandy (pH:5.8) - LOW | 🌧️ Precipitation: 380mm - GOOD | ☀️ Sunshine: 2650 hours - EXCELLENT | 🏞️ Landcover: farmland - BONUS,MODERATELY PRODUCTIVE
37.3212563,41.5427682,1015,9.3,0.4,Unnamed,lake,767.2,Stony-Sandy,5.8,0.7,low,380,2650,11.2,Continental,farmland,,OpenStreetMap,70,"very close to water, medium slope, medium elevation, suitable precipitation, ideal sunshine, existing agricultural land",💧 Water: 0.4km (Unnamed) - EXCELLENT | 📐 Slope: 9.3% - GOOD | ⛰️ Elevation: 1015m - GOOD | 🏙️ Urban: 767.2km - FAR | 🌱 Soil: Stony-Sandy (pH:5.8) - LOW | 🌧️ Precipitation: 380mm - GOOD | ☀️ Sunshine: 2650 hours - EXCELLENT | 🏞️ Landcover: farmland - BONUS,PRODUCTIVE
37.3179871,41.5436433,1066,10.0,0.7,Unnamed,lake,632.3,Stony-Sandy,5.8,0.7,low,380,2650,11.2,Continental,farmland,,OpenStreetMap,70,"very close to water, medium slope, medium elevation, suitable precipitation, ideal sunshine, existing agricultural land",💧 Water: 0.7km (Unnamed) - EXCELLENT | 📐 Slope: 10.0% - GOOD | ⛰️ Elevation: 1066m - GOOD | 🏙️ Urban: 632.3km - FAR | 🌱 Soil: Stony-Sandy (pH:5.8) - LOW | 🌧️ Precipitation: 380mm - GOOD | ☀️ Sunshine: 2650 hours - EXCELLENT | 🏞️ Landcover: farmland - BONUS,PRODUCTIVE
37.3168222,41.5444272,1182,13.2,0.9,Unnamed,lake,609.3,Stony-Sandy,5.8,0.7,low,380,2650,11.2,Continental,farmland,,OpenStreetMap,63,"very close to water, high slope, medium elevation, suitable precipitation, ideal sunshine, existing agricultural land",💧 Water: 0.9km (Unnamed) - EXCELLENT | 📐 Slope: 13.2% - MEDIUM | ⛰️ Elevation: 1182m - GOOD | 🏙️ Urban: 609.3km - FAR | 🌱 Soil: Stony-Sandy (pH:5.8) - LOW | 🌧️ Precipitation: 380mm - GOOD | ☀️ Sunshine: 2650 hours - EXCELLENT | 🏞️ Landcover: farmland - BONUS,MODERATELY PRODUCTIVE
37.2763404,41.4780058,930,6.8,1.3,Unnamed,lake,557.8,Loamy-Sandy,6.5,1.2,medium,380,2650,11.2,Continental,farmland,,OpenStreetMap,74,"very close to water, medium slope, medium elevation, medium soil, suitable precipitation, ideal sunshine, existing agricultural land",💧 Water: 1.3km (Unnamed) - EXCELLENT | 📐 Slope: 6.8% - GOOD | ⛰️ Elevation: 930m - GOOD | 🏙️ Urban: 557.8km - FAR | 🌱 Soil: Loamy-Sandy (pH:6.5) - MEDIUM | 🌧️ Precipitation: 380mm - GOOD | ☀️ Sunshine: 2650 hours - EXCELLENT | 🏞️ Landcover: farmland - BONUS,PRODUCTIVE
